average_salary,benefits,experience_levels,gender,job_title,median_salary,salary_period,summary,url
"Rs 618,247","{'Medical': '76%', 'Dental': '10%', 'Vision': '10%', 'None': '24%'}","{'Entry Level': '▲8%', 'Early Career': '▼1%'}","{'Male': '84.0%', 'Female': '12.0%', 'Prefer to self-define': '4.0%'}",Average Associate Software Engineer Salary in Pakistan,PKR 618k,/ year,"The average salary for an Associate Software Engineer is Rs 618,247 in 2025",https://www.payscale.com/research/PK/Job=Associate_Software_Engineer/Salary
Rs 292.14,"{'Medical': '63%', 'Dental': '13%', 'Vision': '13%', 'None': '35%'}","{'Entry Level': '▲35%', 'Early Career': '▲5%', 'Mid Career': '▼32%', 'Late Career': '▼33%', 'Experienced': '▼100%'}","{'Male': '88.6%', 'Female': '11.4%'}",Average Data Entry Operator Hourly Pay in Pakistan,PKR 292.14,/ hour,The average hourly pay for a Data Entry Operator is Rs 292.14 in 2025,https://www.payscale.com/research/PK/Job=Data_Entry_Operator/Salary
"Rs 1,213,564","{'Medical': '47%', 'None': '53%'}","{'Early Career': '▼14%', 'Mid Career': '▲32%'}","{'Male': '87.5%', 'Female': '12.5%'}",Average iOS Developer Salary in Pakistan,PKR 1m,/ year,"The average salary for an iOS Developer is Rs 1,213,564 in 2025",https://www.payscale.com/research/PK/Job=iOS_Developer/Salary
"Rs 982,844","{'Medical': '53%', 'Dental': '3%', 'Vision': '3%', 'None': '47%'}","{'Entry Level': '▼76%', 'Early Career': '▼26%', 'Mid Career': '▲39%', 'Late Career': '▼1%'}","{'Male': '96.0%', 'Female': '4.0%'}",Average .NET Software Developer / Programmer Salary in Pakistan,PKR 983k,/ year,"The average salary for a .NET Software Developer / Programmer is Rs 982,844 in 2025",https://www.payscale.com/research/PK/Job=.NET_Software_Developer_%2F_Programmer/Salary
"Rs 1,171,098","{'Medical': '75%', 'Dental': '13%', 'None': '25%'}","{'Early Career': '▼67%', 'Mid Career': '▼10%', 'Late Career': '▲1%', 'Experienced': '▼2%'}",{'Male': '100.0%'},Average Regional Sales Manager Salary in Pakistan,PKR 1m,/ year,"The average salary for a Regional Sales Manager is Rs 1,171,098 in 2025",https://www.payscale.com/research/PK/Job=Regional_Sales_Manager/Salary
"Rs 300,000","{'Medical': '60%', 'None': '40%'}","{'Entry Level': '▲190%', 'Early Career': '▼0%', 'Mid Career': '▼42%', 'Late Career': '▲310%', 'Experienced': '▲917%'}","{'Male': '60.0%', 'Female': '40.0%'}","Average Physician / Doctor, General Practice Salary in Pakistan",PKR 300k,/ year,"The average salary for a Physician / Doctor, General Practice is Rs 300,000 in 2025",https://www.payscale.com/research/PK/Job=Physician_%2F_Doctor%2C_General_Practice/Salary
"Rs 355,077","{'Medical': '67%', 'Dental': '22%', 'Vision': '22%', 'None': '33%'}","{'Entry Level': '▲16%', 'Early Career': '▼12%', 'Mid Career': '▲25%', 'Late Career': '▲111%'}","{'Male': '70.6%', 'Female': '29.4%'}",Average Administrative Assistant Salary in Pakistan,PKR 355k,/ year,"The average salary for an Administrative Assistant is Rs 355,077 in 2025",https://www.payscale.com/research/PK/Job=Administrative_Assistant/Salary
"Rs 721,360","{'Medical': '57%', 'Dental': '9%', 'Vision': '7%', 'None': '43%'}","{'Entry Level': '▼57%', 'Early Career': '▼2%', 'Mid Career': '▲32%'}","{'Male': '70.5%', 'Female': '29.5%'}",Average Software Quality Assurance (SQA) Engineer Salary in Pakistan,PKR 721k,/ year,"The average salary for a Software Quality Assurance (SQA) Engineer is Rs 721,360 in 2025",https://www.payscale.com/research/PK/Job=Software_Quality_Assurance_(SQA)_Engineer/Salary
"Rs 1,736,351","{'Medical': '80%', 'Dental': '20%', 'Vision': '20%', 'None': '20%'}","{'Entry Level': '▼71%', 'Early Career': '▼52%', 'Mid Career': '▼8%', 'Late Career': '▲62%', 'Experienced': '▲75%'}","{'Male': '71.4%', 'Female': '28.6%'}","Average Project Manager, (Unspecified Type / General) Salary in Pakistan",PKR 2m,/ year,"The average salary for a Project Manager, (Unspecified Type / General) is Rs 1,736,351 in 2025",https://www.payscale.com/research/PK/Job=Project_Manager%2C_(Unspecified_Type_%2F_General)/Salary
"Rs 957,789","{'Medical': '60%', 'None': '40%'}","{'Early Career': '▲4%', 'Mid Career': '▲25%', 'Late Career': '▼0%', 'Experienced': '▼53%'}","{'Male': '94.4%', 'Female': '5.6%'}","Average Project Manager, Construction Salary in Pakistan",PKR 958k,/ year,"The average salary for a Project Manager, Construction is Rs 957,789 in 2025",https://www.payscale.com/research/PK/Job=Project_Manager%2C_Construction/Salary
"Rs 750,757","{'Medical': '35%', 'Dental': '4%', 'Vision': '8%', 'None': '62%'}","{'Entry Level': '▼35%', 'Early Career': '▼60%', 'Mid Career': '▲32%', 'Late Career': '▲99%', 'Experienced': '▲118%'}","{'Male': '64.2%', 'Female': '35.8%'}",Average Marketing Manager Salary in Pakistan,PKR 751k,/ year,"The average salary for a Marketing Manager is Rs 750,757 in 2025",https://www.payscale.com/research/PK/Job=Marketing_Manager/Salary
"Rs 191,558","{'Medical': '75%', 'Dental': '25%', 'Vision': '25%', 'None': '25%'}","{'Entry Level': '▲57%', 'Early Career': '▲17%', 'Mid Career': '▲85%', 'Late Career': '▲91%', 'Experienced': '▼49%'}","{'Female': '91.3%', 'Male': '8.7%'}",Average Elementary School Teacher Salary in Pakistan,PKR 192k,/ year,"The average salary for an Elementary School Teacher is Rs 191,558 in 2025",https://www.payscale.com/research/PK/Job=Elementary_School_Teacher/Salary
"Rs 293,877","{'Medical': '33%', 'Dental': '17%', 'Vision': '17%', 'None': '67%'}","{'Entry Level': '▲23%', 'Early Career': '▼2%', 'Mid Career': '▲83%'}",{'Male': '100.0%'},Average Finance Assistant Salary in Pakistan,PKR 294k,/ year,"The average salary for a Finance Assistant is Rs 293,877 in 2025",https://www.payscale.com/research/PK/Job=Finance_Assistant/Salary
"Rs 88,000",{'Medical': '100%'},"{'Early Career': '▲184%', 'Mid Career': '▲639%'}",{'Male': '100.0%'},Average Radiographer Salary in Pakistan,PKR 88k,/ year,"The average salary for a Radiographer is Rs 88,000 in 2025",https://www.payscale.com/research/PK/Job=Radiographer/Salary
"Rs 1,380,000","{'Medical': '67%', 'None': '33%'}",{},{'Male': '100.0%'},Average Service Delivery Manager Salary in Pakistan,PKR 1m,/ year,"The average salary for a Service Delivery Manager is Rs 1,380,000 in 2025",https://www.payscale.com/research/PK/Job=Service_Delivery_Manager/Salary
"Rs 725,129","{'Medical': '56%', 'None': '44%'}","{'Early Career': '▼10%', 'Mid Career': '▼0%', 'Late Career': '▲8%'}","{'Male': '77.5%', 'Female': '22.5%'}",Average Senior Graphic Designer Salary in Pakistan,PKR 725k,/ year,"The average salary for a Senior Graphic Designer is Rs 725,129 in 2025",https://www.payscale.com/research/PK/Job=Senior_Graphic_Designer/Salary
"Rs 593,046","{'Medical': '13%', 'None': '88%'}","{'Entry Level': '▼20%', 'Early Career': '▼1%'}",{'Male': '100.0%'},Average Flutter Developer Salary in Pakistan,PKR 593k,/ year,"The average salary for a Flutter Developer is Rs 593,046 in 2025",https://www.payscale.com/research/PK/Job=Flutter_Developer/Salary
"Rs 168,000","{'Medical': '36%', 'None': '64%'}","{'Entry Level': '▲261%', 'Early Career': '▲3%', 'Mid Career': '▲19%'}","{'Female': '91.7%', 'Male': '8.3%'}",Average Clinical Psychologist Salary in Pakistan,PKR 168k,/ year,"The average salary for a Clinical Psychologist is Rs 168,000 in 2025",https://www.payscale.com/research/PK/Job=Clinical_Psychologist/Salary
"Rs 3,490,488","{'Medical': '95%', 'Dental': '15%', 'Vision': '15%', 'None': '5%'}","{'Mid Career': '▲2%', 'Late Career': '▲7%'}",{'Male': '100.0%'},Average Principal Software Engineer Salary in Pakistan,PKR 3m,/ year,"The average salary for a Principal Software Engineer is Rs 3,490,488 in 2025",https://www.payscale.com/research/PK/Job=Principal_Software_Engineer/Salary
"Rs 600,000","{'Medical': '47%', 'Dental': '5%', 'None': '53%'}","{'Early Career': '▲14%', 'Mid Career': '▲20%', 'Late Career': '▼9%'}","{'Male': '91.3%', 'Female': '8.7%'}",Average Account Executive Salary in Pakistan,PKR 600k,/ year,"The average salary for an Account Executive is Rs 600,000 in 2025",https://www.payscale.com/research/PK/Job=Account_Executive/Salary
"Rs 501,072","{'Medical': '50%', 'Dental': '8%', 'Vision': '8%', 'None': '50%'}","{'Entry Level': '▲10%', 'Early Career': '▼0%'}","{'Male': '67.9%', 'Female': '32.1%'}",Average Digital Marketing Specialist Salary in Pakistan,PKR 501k,/ year,"The average salary for a Digital Marketing Specialist is Rs 501,072 in 2025",https://www.payscale.com/research/PK/Job=Digital_Marketing_Specialist/Salary
"Rs 707,444","{'Medical': '69%', 'Dental': '12%', 'Vision': '8%', 'None': '31%'}","{'Entry Level': '▼38%', 'Early Career': '▼14%', 'Mid Career': '▲44%', 'Late Career': '▲287%'}","{'Male': '67.4%', 'Female': '32.6%'}",Average Test / Quality Assurance (QA) Engineer (Computer Software) Salary in Pakistan,PKR 707k,/ year,"The average salary for a Test / Quality Assurance (QA) Engineer (Computer Software) is Rs 707,444 in 2025",https://www.payscale.com/research/PK/Job=Test_%2F_Quality_Assurance_(QA)_Engineer_(Computer_Software)/Salary
"Rs 1,015,100","{'Medical': '62%', 'Dental': '5%', 'Vision': '10%', 'None': '38%'}","{'Entry Level': '▼33%', 'Early Career': '▲16%', 'Mid Career': '▼3%'}","{'Male': '93.3%', 'Female': '6.7%'}",Average Data Scientist Salary in Pakistan,PKR 1m,/ year,"The average salary for a Data Scientist is Rs 1,015,100 in 2025",https://www.payscale.com/research/PK/Job=Data_Scientist/Salary
"Rs 220,000","{'Medical': '17%', 'None': '83%'}","{'Early Career': '▲79%', 'Mid Career': '▲218%'}","{'Male': '71.4%', 'Female': '28.6%'}",Average Physical Therapist (PT) Salary in Pakistan,PKR 220k,/ year,"The average salary for a Physical Therapist (PT) is Rs 220,000 in 2025",https://www.payscale.com/research/PK/Job=Physical_Therapist_(PT)/Salary
"Rs 723,187","{'Medical': '40%', 'Dental': '8%', 'Vision': '4%', 'None': '60%'}","{'Entry Level': '▼59%', 'Early Career': '▼1%', 'Mid Career': '▲117%'}","{'Male': '88.5%', 'Female': '11.5%'}",Average PHP Developer Salary in Pakistan,PKR 723k,/ year,"The average salary for a PHP Developer is Rs 723,187 in 2025",https://www.payscale.com/research/PK/Job=PHP_Developer/Salary
"Rs 544,961","{'Medical': '60%', 'Dental': '20%', 'Vision': '20%', 'None': '40%'}","{'Entry Level': '▲87%', 'Early Career': '▼61%'}","{'Male': '84.6%', 'Female': '7.7%'}",Average Ethical Hacker Salary in Pakistan,PKR 545k,/ year,"The average salary for an Ethical Hacker is Rs 544,961 in 2025",https://www.payscale.com/research/PK/Job=Ethical_Hacker/Salary
"Rs 750,121","{'Medical': '57%', 'Dental': '14%', 'None': '43%'}","{'Early Career': '▼33%', 'Mid Career': '▼21%', 'Late Career': '▲40%', 'Experienced': '▲79%'}","{'Male': '82.6%', 'Female': '17.4%'}",Average Administrative / Office Manager Salary in Pakistan,PKR 750k,/ year,"The average salary for an Administrative / Office Manager is Rs 750,121 in 2025",https://www.payscale.com/research/PK/Job=Administrative_%2F_Office_Manager/Salary
"Rs 275,000","{'Medical': '71%', 'Dental': '29%', 'Vision': '14%', 'None': '29%'}","{'Entry Level': '▲11%', 'Early Career': '▲4%', 'Mid Career': '▲164%'}","{'Male': '76.5%', 'Female': '23.5%'}",Average Cyber Security Analyst Salary in Pakistan,PKR 275k,/ year,"The average salary for a Cyber Security Analyst is Rs 275,000 in 2025",https://www.payscale.com/research/PK/Job=Cyber_Security_Analyst/Salary
"Rs 253,858","{'Medical': '40%', 'Dental': '4%', 'None': '56%'}","{'Entry Level': '▼15%', 'Early Career': '▼16%', 'Mid Career': '▲92%', 'Late Career': '▲151%'}","{'Female': '60.9%', 'Male': '39.1%'}",Average Mathematics Teacher Salary in Pakistan,PKR 254k,/ year,"The average salary for a Mathematics Teacher is Rs 253,858 in 2025",https://www.payscale.com/research/PK/Job=Mathematics_Teacher/Salary
"Rs 996,070","{'Medical': '56%', 'Dental': '12%', 'Vision': '12%', 'None': '44%'}","{'Entry Level': '▲10%', 'Early Career': '▼2%', 'Mid Career': '▲16%', 'Late Career': '▲1%', 'Experienced': '▲402%'}","{'Male': '94.8%', 'Female': '5.2%'}",Average Chartered Accountant Salary in Pakistan,PKR 996k,/ year,"The average salary for a Chartered Accountant is Rs 996,070 in 2025",https://www.payscale.com/research/PK/Job=Chartered_Accountant/Salary
"Rs 1,028,267","{'Medical': '70%', 'Dental': '20%', 'Vision': '20%', 'None': '30%'}","{'Early Career': '▼2%', 'Mid Career': '▲119%', 'Late Career': '▲133%'}","{'Male': '96.7%', 'Female': '3.3%'}","Average Project Manager, Information Technology (IT) Salary in Pakistan",PKR 1m,/ year,"The average salary for a Project Manager, Information Technology (IT) is Rs 1,028,267 in 2025",https://www.payscale.com/research/PK/Job=Project_Manager%2C_Information_Technology_(IT)/Salary
"Rs 872,932","{'Medical': '56%', 'Dental': '6%', 'Vision': '6%', 'None': '44%'}","{'Early Career': '▼30%', 'Mid Career': '▲1%', 'Late Career': '▲23%', 'Experienced': '▼43%'}","{'Male': '94.1%', 'Female': '5.9%'}",Average Senior Accountant Salary in Pakistan,PKR 873k,/ year,"The average salary for a Senior Accountant is Rs 872,932 in 2025",https://www.payscale.com/research/PK/Job=Senior_Accountant/Salary
Rs 486.05,"{'Medical': '25%', 'Dental': '13%', 'Vision': '13%', 'None': '75%'}","{'Entry Level': '▲70%', 'Early Career': '▲6%'}","{'Male': '66.7%', 'Female': '33.3%'}",Average Virtual Assistant Hourly Pay in Pakistan,PKR 486.05,/ hour,The average hourly pay for a Virtual Assistant is Rs 486.05 in 2025,https://www.payscale.com/research/PK/Job=Virtual_Assistant/Salary
"Rs 691,577","{'Medical': '63%', 'Dental': '7%', 'Vision': '7%', 'None': '33%'}","{'Entry Level': '▼29%', 'Early Career': '▼15%', 'Mid Career': '▲36%', 'Late Career': '▲80%', 'Experienced': '▲38%'}","{'Male': '89.5%', 'Female': '10.5%'}",Average Information Technology (IT) Manager Salary in Pakistan,PKR 692k,/ year,"The average salary for an Information Technology (IT) Manager is Rs 691,577 in 2025",https://www.payscale.com/research/PK/Job=Information_Technology_(IT)_Manager/Salary
"Rs 1,252,236","{'Medical': '80%', 'None': '20%'}","{'Mid Career': '▲3%', 'Late Career': '▲9%', 'Experienced': '▼3%'}","{'Male': '89.5%', 'Female': '10.5%'}","Average Branch Manager, Banking Salary in Pakistan",PKR 1m,/ year,"The average salary for a Branch Manager, Banking is Rs 1,252,236 in 2025",https://www.payscale.com/research/PK/Job=Branch_Manager%2C_Banking/Salary
"Rs 405,209","{'Medical': '10%', 'None': '90%'}","{'Early Career': '▼1%', 'Mid Career': '▲48%'}","{'Male': '87.0%', 'Female': '13.0%'}",Average Search Engine Optimization (SEO) Specialist Salary in Pakistan,PKR 405k,/ year,"The average salary for a Search Engine Optimization (SEO) Specialist is Rs 405,209 in 2025",https://www.payscale.com/research/PK/Job=Search_Engine_Optimization_(SEO)_Specialist/Salary
"Rs 1,586,713","{'Medical': '67%', 'Dental': '8%', 'Vision': '13%', 'None': '33%'}","{'Entry Level': '▲58%', 'Early Career': '▼11%', 'Mid Career': '▲51%', 'Late Career': '▲79%'}","{'Male': '88.6%', 'Female': '10.2%'}",Average Sr. Software Engineer / Developer / Programmer Salary in Pakistan,PKR 2m,/ year,"The average salary for a Sr. Software Engineer / Developer / Programmer is Rs 1,586,713 in 2025",https://www.payscale.com/research/PK/Job=Sr._Software_Engineer_%2F_Developer_%2F_Programmer/Salary
"Rs 365,793","{'Medical': '70%', 'None': '30%'}","{'Entry Level': '▼0%', 'Early Career': '▲30%', 'Mid Career': '▲29%', 'Late Career': '▲119%'}","{'Male': '76.0%', 'Female': '20.0%', 'Prefer to self-define': '4.0%'}",Average Human Resources (HR) Officer Salary in Pakistan,PKR 366k,/ year,"The average salary for a Human Resources (HR) Officer is Rs 365,793 in 2025",https://www.payscale.com/research/PK/Job=Human_Resources_(HR)_Officer/Salary
"Rs 1,068,162","{'Medical': '63%', 'Dental': '38%', 'Vision': '25%', 'None': '38%'}","{'Entry Level': '▼33%', 'Early Career': '▼21%', 'Mid Career': '▲6%', 'Late Career': '▲14%', 'Experienced': '▲69%'}","{'Male': '80.0%', 'Female': '20.0%'}",Average Family Physician / Doctor Salary in Pakistan,PKR 1m,/ year,"The average salary for a Family Physician / Doctor is Rs 1,068,162 in 2025",https://www.payscale.com/research/PK/Job=Family_Physician_%2F_Doctor/Salary
"Rs 135,000","{'Medical': '43%', 'Dental': '14%', 'Vision': '14%', 'None': '57%'}","{'Entry Level': '▲54%', 'Early Career': '▲11%', 'Mid Career': '▼27%', 'Late Career': '▲700%', 'Experienced': '▲344%'}","{'Male': '76.0%', 'Female': '24.0%'}",Average Office Manager Salary in Pakistan,PKR 135k,/ year,"The average salary for an Office Manager is Rs 135,000 in 2025",https://www.payscale.com/research/PK/Job=Office_Manager/Salary
"Rs 751,608","{'Medical': '78%', 'Dental': '11%', 'None': '22%'}","{'Entry Level': '▼59%', 'Early Career': '▲6%', 'Mid Career': '▲33%'}","{'Male': '90.9%', 'Female': '9.1%'}",Average Financial Analyst Salary in Pakistan,PKR 752k,/ year,"The average salary for a Financial Analyst is Rs 751,608 in 2025",https://www.payscale.com/research/PK/Job=Financial_Analyst/Salary
"Rs 489,375","{'Medical': '47%', 'Dental': '7%', 'Vision': '8%', 'None': '53%'}","{'Entry Level': '▼32%', 'Early Career': '▼13%', 'Mid Career': '▲70%', 'Late Career': '▲145%', 'Experienced': '▲84%'}","{'Male': '93.4%', 'Female': '6.6%'}",Average Civil Engineer Salary in Pakistan,PKR 489k,/ year,"The average salary for a Civil Engineer is Rs 489,375 in 2025",https://www.payscale.com/research/PK/Job=Civil_Engineer/Salary
"Rs 994,541","{'Medical': '72%', 'Dental': '15%', 'Vision': '12%', 'None': '27%'}","{'Entry Level': '▼28%', 'Early Career': '▲4%', 'Mid Career': '▲25%', 'Late Career': '▼40%', 'Experienced': '▼78%'}","{'Male': '87.4%', 'Female': '11.8%'}",Average Software Engineer Salary in Pakistan,PKR 995k,/ year,"The average salary for a Software Engineer is Rs 994,541 in 2025",https://www.payscale.com/research/PK/Job=Software_Engineer/Salary
"Rs 500,000","{'Medical': '78%', 'Dental': '11%', 'Vision': '22%', 'None': '22%'}","{'Entry Level': '▼28%', 'Early Career': '▼20%', 'Mid Career': '▲350%'}",{'Male': '100.0%'},Average Cyber Security Engineer Salary in Pakistan,PKR 500k,/ year,"The average salary for a Cyber Security Engineer is Rs 500,000 in 2025",https://www.payscale.com/research/PK/Job=Cyber_Security_Engineer/Salary
"Rs 819,454","{'Medical': '69%', 'Dental': '7%', 'Vision': '11%', 'None': '29%'}","{'Entry Level': '▼50%', 'Early Career': '▼32%', 'Mid Career': '▲43%', 'Late Career': '▲49%', 'Experienced': '▲46%'}","{'Male': '53.4%', 'Female': '46.6%'}",Average Human Resources (HR) Manager Salary in Pakistan,PKR 819k,/ year,"The average salary for a Human Resources (HR) Manager is Rs 819,454 in 2025",https://www.payscale.com/research/PK/Job=Human_Resources_(HR)_Manager/Salary
"Rs 420,000","{'Medical': '70%', 'Dental': '10%', 'Vision': '10%', 'None': '30%'}","{'Entry Level': '▼30%', 'Early Career': '▼2%', 'Mid Career': '▲31%', 'Late Career': '▼40%'}","{'Female': '50.0%', 'Male': '50.0%'}",Average Executive Assistant Salary in Pakistan,PKR 420k,/ year,"The average salary for an Executive Assistant is Rs 420,000 in 2025",https://www.payscale.com/research/PK/Job=Executive_Assistant/Salary
"Rs 718,985","{'Medical': '86%', 'Dental': '7%', 'None': '14%'}","{'Entry Level': '▼49%', 'Early Career': '▲4%', 'Mid Career': '▲39%'}","{'Male': '61.9%', 'Female': '38.1%'}",Average Quality Assurance (QA) Engineer Salary in Pakistan,PKR 719k,/ year,"The average salary for a Quality Assurance (QA) Engineer is Rs 718,985 in 2025",https://www.payscale.com/research/PK/Job=Quality_Assurance_(QA)_Engineer/Salary
"Rs 900,000","{'Medical': '50%', 'Dental': '17%', 'Vision': '17%', 'None': '50%'}","{'Entry Level': '▼72%', 'Early Career': '▼47%', 'Mid Career': '▼16%', 'Late Career': '▲155%', 'Experienced': '▲167%'}","{'Male': '95.2%', 'Female': '4.8%'}",Average Business Development Manager Salary in Pakistan,PKR 900k,/ year,"The average salary for a Business Development Manager is Rs 900,000 in 2025",https://www.payscale.com/research/PK/Job=Business_Development_Manager/Salary
"Rs 120,000","{'Medical': '50%', 'None': '50%'}","{'Entry Level': '▲225%', 'Early Career': '▼46%', 'Mid Career': '▲100%', 'Late Career': '▼0%'}","{'Male': '86.4%', 'Female': '13.6%'}",Average Film / Video Editor Salary in Pakistan,PKR 120k,/ year,"The average salary for a Film / Video Editor is Rs 120,000 in 2025",https://www.payscale.com/research/PK/Job=Film_%2F_Video_Editor/Salary
"Rs 600,000",{},{},{},Average Field Service Supervisor Salary in Pakistan,,/ year,"The average salary for a Field Service Supervisor is Rs 600,000 in 2025",https://www.payscale.com/research/PK/Job=Field_Service_Supervisor/Salary
"Rs 1,109,425","{'Medical': '64%', 'Dental': '4%', 'Vision': '11%', 'None': '32%'}","{'Early Career': '▼5%', 'Mid Career': '▲130%', 'Late Career': '▼26%'}","{'Male': '85.7%', 'Female': '11.9%', 'Prefer to self-define': '2.4%'}",Average Full Stack Software Developer Salary in Pakistan,PKR 1m,/ year,"The average salary for a Full Stack Software Developer is Rs 1,109,425 in 2025",https://www.payscale.com/research/PK/Job=Full_Stack_Software_Developer/Salary
"Rs 360,000","{'Medical': '67%', 'None': '33%'}",{},"{'Male': '76.2%', 'Female': '23.8%'}",Average React Developer Salary in Pakistan,PKR 360k,/ year,"The average salary for a React Developer is Rs 360,000 in 2025",https://www.payscale.com/research/PK/Job=React_Developer/Salary
"Rs 1,951,830","{'Medical': '67%', 'Dental': '19%', 'Vision': '19%', 'None': '33%'}","{'Entry Level': '▼48%', 'Early Career': '▲21%', 'Mid Career': '▲13%', 'Late Career': '▼49%', 'Experienced': '▲169%'}","{'Male': '93.8%', 'Female': '6.3%'}",Average Chief Executive Officer (CEO) Salary in Pakistan,PKR 2m,/ year,"The average salary for a Chief Executive Officer (CEO) is Rs 1,951,830 in 2025",https://www.payscale.com/research/PK/Job=Chief_Executive_Officer_(CEO)/Salary
"Rs 303,391","{'Medical': '50%', 'None': '50%'}","{'Entry Level': '▼1%', 'Early Career': '▲1%', 'Mid Career': '▼20%', 'Late Career': '▲32%', 'Experienced': '▲216%'}","{'Female': '60.0%', 'Male': '40.0%'}",Average Secondary School Teacher Salary in Pakistan,PKR 303k,/ year,"The average salary for a Secondary School Teacher is Rs 303,391 in 2025",https://www.payscale.com/research/PK/Job=Secondary_School_Teacher/Salary
"Rs 750,121","{'Medical': '41%', 'None': '59%'}","{'Entry Level': '▼60%', 'Early Career': '▼11%', 'Mid Career': '▲124%'}","{'Male': '87.5%', 'Female': '12.5%'}",Average Android Software Developer Salary in Pakistan,PKR 750k,/ year,"The average salary for an Android Software Developer is Rs 750,121 in 2025",https://www.payscale.com/research/PK/Job=Android_Software_Developer/Salary
"Rs 285,000",{'None': '100%'},{},{'Male': '100.0%'},Average Electrical Foreman Salary in Pakistan,PKR 285k,/ year,"The average salary for an Electrical Foreman is Rs 285,000 in 2025",https://www.payscale.com/research/PK/Job=Electrical_Foreman/Salary
